,User,Followers
752,lucdias,[]
753,brunodarce,[]
754,DevIsola,[]
755,aldeniolima,[]
756,IkaroSales,[]
757,Manasses-Java,[]
758,eliezerjunioradsw,[]
759,ruliribeiro,[]
760,juarezcruz,[]
761,henriquedapenha,[]
762,dihutus,[]
763,orygens,[]
764,BrunoLeo,[]
765,leoaraujo-royal,[]
766,edax-gemmius,[]
767,henriqueapollo,[]
768,jeffersoncpf,[]
769,ogilvygustavo,[]
770,GuiHebert,[]
771,daniloipubi,[]
772,wagnercasino,[]
773,BestDesigners,[]
774,joseanesantos,[]
775,ggcampos,[]
776,hrockcouto,[]
777,eletronic,[]
778,cjmduarte,[]
779,jhonathanmatheus,[]
780,alexmulatinho,[]
781,digitalnativa,[]
782,eudesnoberto,[]
783,somosaponte,[]
784,kimtjs16,[]
785,iamavalon,[]
786,wecarecorp,[]
787,codetimesistemas,[]
788,oliveiramarcello,[]
789,jmachadoaneto,[]
790,jgabrielssilva,[]
791,if710,[]
792,rafaelborja,[]
793,ThiagoPrime,[]
794,clinica-sim,[]
795,alesefs,[]
796,b2tradingclub,[]
797,NeylorCesar,[]
798,porquin,[]
799,rbertoli99,[]
800,BrunoCamelo,[]
801,joaocarlosdv,[]
802,otluiz,[]
803,geekcafe,[]
804,eperazzo,[]
805,manoelaugustoc,[]
806,Jeffguitar,[]
807,silvinoneto,[]
808,viniciusjsantanna,[]
809,gustavocabral,[]
810,vctdiniz,['MarcelinoChagas']
811,jorgesouza000,[]
812,rafaelgibam,[]
813,gfads,[]
814,Monaliisa,[]
815,dfsdaniel,[]
816,heltonsantos,[]
817,aponte,[]
818,JenniferPayne,[]
819,rsaRodrigoSales,[]
820,EduardoSoares,[]
821,ooerlang,[]
822,gdg-recife,[]
823,azevedoluiz,[]
824,seederwood,[]
825,guilhermecahu,[]
826,italosimoes,[]
827,tbxc,[]
828,ThatyLima,[]
829,leandrorio,[]
830,kauparesque,[]
831,dvnp,[]
832,prgc,[]
833,Openredu,[]
834,kassioribeiro,[]
835,ivalenca,[]
836,gleydsonageu,[]
837,maurojcs,[]
838,Azuirson,[]
839,evercodes,[]
840,RebecaHayanny,[]
841,carlosneander,[]
842,livox,[]
843,antoniovandre,[]
844,abic-ong,[]
845,MarianaSenaBarreto,[]
846,icsouza,[]
847,silviogatisf,[]
848,rwarstat,[]
849,fabianotiagobs,[]
850,flavioasobrinho,[]
851,brunoperruci,[]
852,Danilosouza9612,[]
853,maykeriibeiro,[]
854,mrmgomes,[]
855,flisolrecife,[]
856,hqlpedro,[]
857,In-Loco-Media,[]
858,avlm,[]
859,gmenge,[]
860,hugorlima,[]
861,jacscin,[]
862,leettech,[]
863,prfrancaf,[]
864,pedroclericuzi,[]
865,Crypttus,[]
866,cfregis,[]
